address,category,city,country,employees,founded,fundation_year,investors,link,market_cap,name,ownership,revenue,satus,stage,telephone,total_raised,type,unnamed,valuation,full_address,latitude,longitude
,Pharma,Mumbai India,,,,1983 (40 yrs old),,,,Sun Pharmaceutical Industries,Public,,,,,,,,,Mumbai India,19.054999,72.8692035
,Engineering & Construction,Mumbai Maharashtra India,,,,1865 (158 yrs old),,,,Shapoorji Pallonji Group,Private,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Automobile,Chennai Tamil Nadu India,,,,1948 (75 yrs old),,,,Ashok Leyland,Public,,,,,,,,,Chennai Tamil Nadu India,13.0836939,80.270186
,Pharma,Hyderabad/Secunderabad Telangana India,,,,1986 (37 yrs old),,,,Aurobindo Pharma,Public,,,,,,,,,Hyderabad/Secunderabad Telangana India,17.442473907634827,78.50469052729599
,Consumer Electronics & Appliances,Gurgaon/Gurugram Haryana India,,,,2009 (14 yrs old),,,,Vivo,Private,,,,,,,,,Gurgaon/Gurugram Haryana India,28.4891009,77.0111934
,NBFC,Mumbai Maharashtra India,,,,1991 (32 yrs old),,,,Mahindra & Mahindra Financial Services,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Financial Services,Jaipur Rajasthan India,,,,1996 (27 yrs old),,,,AU Small Finance Bank,Private,,,,,,,,,Jaipur Rajasthan India,26.9154576,75.8189817
,Power,MunichBavaria Germany,,,,1847 (176 yrs old),,,,Siemens,Public,,,,,,,,,MunichBavaria Germany,,
,Healthcare,San FranciscoCalifornia United States,,,,1983 (40 yrs old),,,,Apollo Hospitals,Public,,,,,,,,,San FranciscoCalifornia United States,,
,IT Services & Consulting,HoustonTexas United States,,,,2015 (8 yrs old),,,,Hewlett-Packard Enterprise,Private,,,,,,,,,HoustonTexas United States,,
,Hardware & Networking,Espoo Southern Finland Finland,,,,1865 (158 yrs old),,,,Nokia,Private,,,,,,,,,Espoo Southern Finland Finland,,
,Insurance,Gurgaon/Gurugram Haryana India,,,,2000 (23 yrs old),,,,Max Life Insurance,JV,,,,,,,,,Gurgaon/Gurugram Haryana India,28.4891009,77.0111934
,Iron & Steel,Mumbai Maharashtra India,,,,1907 (116 yrs old),,,,TATA Steel,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Iron & Steel,Mumbai Maharashtra India,,,,1907 (116 yrs old),,,,TATA Steel,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,BPO,Mumbai Maharashtra India,,,,2001 (22 yrs old),,,,First Source,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,IT Services & Consulting,Mumbai Maharashtra India,,,,1990 (33 yrs old),,,,Hexaware Technologies,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Iron & Steel,Mumbai Maharashtra India,,,,1982 (41 yrs old),,,,JSW Steel,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Software Product,AustinTexas United States,,,,1977 (46 yrs old),,,,Oracle,Public,,,,,,,,,AustinTexas United States,,
,BPO,Mumbai Maharashtra India,,,,2000 (23 yrs old),,,,Intelenet Global Services,Private,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Recruitment,Bangalore India,,,,2007 (16 yrs old),,,,Quess,Public,,,,,,,,,Bangalore India,12.98815675,77.62260003796
,Telecom,Navi Mumbai Maharashtra India,,,,2002 (21 yrs old),,,,Reliance Communications,Public,,,,,,,,,Navi Mumbai Maharashtra India,18.984407954400233,73.01893133109773
,Engineering & Construction,Mumbai Maharashtra India,,,,1979 (44 yrs old),,,,Tata Projects,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Retail,Mumbai Maharashtra India,,,,2013 (10 yrs old),,,,Future Group,Private,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Real Estate,Mumbai Maharashtra India,,,,1997 (26 yrs old),,,,JLL,Private,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Automobile,Gurgaon/Gurugram Haryana India,,,,1984 (39 yrs old),,,,Hero MotoCorp,Public,,,,,,,,,Gurgaon/Gurugram Haryana India,28.4891009,77.0111934
,IT Services & Consulting,JacksonvilleFlorida United States,,,,1968 (55 yrs old),,,,Fidelity National Information Services,Private,,,,,,,,,JacksonvilleFlorida United States,,
,Internet,MumbaiMaharashtra India,,,,1996 (27 yrs old),,,,JustDial,Public,,,,,,,,,MumbaiMaharashtra India,,
,Automobile,Chennai Tamil Nadu India,,,,1979 (44 yrs old),,,,TVS Motor,Public,,,,,,,,,Chennai Tamil Nadu India,13.0836939,80.270186
,IT Services & Consulting,Hyderabad/Secunderabad Telangana India,,,,1991 (32 yrs old),,,,Cyient,Public,,,,,,,,,Hyderabad/Secunderabad Telangana India,17.442473907634827,78.50469052729599
,Hospitality,GurgaonHaryana India,,,,2013 (10 yrs old),,,,Oyo Rooms,Private,,,,,,,,,GurgaonHaryana India,,
,Insurance,Pune India,,,,2001 (22 yrs old),,,,Bajaj Allianz Life Insurance,Private,,,,,,,,,Pune India,18.5213738,73.8545071
,Automobile,Seoul South Korea,,,,1967 (56 yrs old),,,,Hyundai Motor,Private,,,,,,,,,Seoul South Korea,37.5666791,126.9782914
,IT Services & Consulting,Bengaluru India,,,,2000 (23 yrs old),,,,Wipro BPS,,,,,,,,,,Bengaluru India,12.98815675,77.62260003796
,Auto Components,Gerlingen Baden-Wuerttemberg Germany,,,,1886 (137 yrs old),,,,Bosch,Public,,,,,,,,,Gerlingen Baden-Wuerttemberg Germany,48.7983947,9.0624386
,Engineering & Construction,Hyderabad/Secunderabad Telangana India,,,,1989 (34 yrs old),,,,Megha Engineering & Infrastructures,Private,,,,,,,,,Hyderabad/Secunderabad Telangana India,17.442473907634827,78.50469052729599
,IT Services & Consulting,Florida UnitedStates,,,,2004 (19 yrs old),,,,Omega Healthcare,Private,,,,,,,,,Florida UnitedStates,,
,Engineering & Construction,Chennai India,,,,1944 (79 yrs old),,,,L&T Construction,Public,,,,,,,,,Chennai India,13.0836939,80.270186
,IT Services & Consulting,Troy Michigan United States USA,,,,1980 (43 yrs old),,,,Atos Syntel,Private,,,,,,,,,Troy Michigan United States USA,,
,Retail,Mumbai Maharashtra India,,,,2000 (23 yrs old),,,,D Mart,Private,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,NBFC,Thrissur/Trichur Kerala India,,,,1949 (74 yrs old),,,,Manappuram Finance,Public,,,,,,,,,Thrissur/Trichur Kerala India,10.5161402,76.2084616
,FinTech,Gurgaon/Gurugram Haryana India,,,,1998 (25 yrs old),,,,SBI Cards & Payment Services,Government,,,,,,,,,Gurgaon/Gurugram Haryana India,28.4891009,77.0111934
,Consumer Electronics & Appliances,Seoul South Korea,,,,1938 (85 yrs old),,,,Samsung,Public,,,,,,,,,Seoul South Korea,37.5666791,126.9782914
,IT Services & Consulting,New York City New York United States USA,,,,2004 (19 yrs old),,,,BNY Mellon,Private,,,,,,,,,New York City New York United States USA,41.941087350000004,-74.04776477123686
,Automobile,Columbus Indiana United States USA,,,,1962 (61 yrs old),,,,Cummins,,,,,,,,,,Columbus Indiana United States USA,,
,Financial Services,Mumbai India,,,,2007 (16 yrs old),,,,Fullerton India,Private,,,,,,,,,Mumbai India,19.054999,72.8692035
,Clinical Research,Durham United States,,,,1982 (41 yrs old),,,,IQVIA,Partnership,,,,,,,,,Durham United States,35.996653,-78.9018053
,IT Services & Consulting,Munich Bavaria Germany,,,,1996 (27 yrs old),,,,Nagarro,Private,,,,,,,,,Munich Bavaria Germany,48.1371079,11.5753822
,Pharma,Canonsburg Pennsylvania United States USA,,,,1961 (62 yrs old),,,,Viatris,,,,,,,,,,Canonsburg Pennsylvania United States USA,,
,Retail,Mumbai India,,,,2015 (8 yrs old),,,,Aditya Birla Fashion and Retail,Private,,,,,,,,,Mumbai India,19.054999,72.8692035
,Internet,BangaloreKarnataka India,,,,2011 (12 yrs old),,,,BigBasket,Private,,,,,,,,,BangaloreKarnataka India,,
,Software Product,ChesterfieldMissouri United States,,,,1982 (41 yrs old),,,,Amdocs,Private,,,,,,,,,ChesterfieldMissouri United States,,
,Real Estate,Los Angeles California United States USA,,,,1906 (117 yrs old),,,,CBRE,Private,,,,,,,,,Los Angeles California United States USA,,
,Software Product,Gerlingen Germany,,,,1990 (33 yrs old),,,,Bosch Global Software Technologies,Private,,,,,,,,,Gerlingen Germany,48.7983947,9.0624386
,Internet,NoidaUttar Pradesh India,,,,1996 (27 yrs old),,,,Indiamart Intermesh,Private,,,,,,,,,NoidaUttar Pradesh India,,
,FMCG,Mumbai Maharashtra India,,,,1897 (126 yrs old),,,,Godrej & Boyce Manufacturing,Private,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Industrial Automation,Paris France,,,,1999 (24 yrs old),,,,Schneider Electric,Private,,,,,,,,,Paris France,48.8588897,2.3200410217200766
,Automobile,Gurgaon/Gurugram Haryana India,,,,1901 (122 yrs old),,,,Royal Enfield,Private,,,,,,,,,Gurgaon/Gurugram Haryana India,28.4891009,77.0111934
,IT Services & Consulting,Aliso Viejo California United States USA,,,,2001 (22 yrs old),,,,UST,Private,,,,,,,,,Aliso Viejo California United States USA,,
,Other,Dearborn Michigan United States USA,,,,1903 (120 yrs old),,,,Ford Motor,Public,,,,,,,,,Dearborn Michigan United States USA,,
,Logistics,GurgaonHaryana India,,,,2012 (11 yrs old),,,,Ecom Express,Private,,,,,,,,,GurgaonHaryana India,,
,Auto Components,Gurgaon/Gurugram Haryana India,,,,1983 (40 yrs old),,,,JBM Group,Public,,,,,,,,,Gurgaon/Gurugram Haryana India,28.4891009,77.0111934
,Banking,Chennai Tamil Nadu India,,,,2007 (16 yrs old),,,,Equitas Small Finance Bank,Private,,,,,,,,,Chennai Tamil Nadu India,13.0836939,80.270186
,Banking,Mumbai Maharashtra India,,,,1806 (217 yrs old),,,,State Bank of India,,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Consumer Electronics & Appliances,Round RockTexas United States,,,,1984 (39 yrs old),,,,Dell,Private,,,,,,,,,Round RockTexas United States,,
,Insurance,Mumbai Maharashtra India,,,,2001 (22 yrs old),,,,ICICI Lombard General Insurance Company,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,EdTech,MumbaiMaharashtra India,,,,2018 (5 yrs old),,,,Whitehat jr,Private,,,,,,,,,MumbaiMaharashtra India,,
,Engineering & Construction,Hyderabad/Secunderabad Telangana India,,,,1998 (25 yrs old),,,,Nagarjuna Construction Company,Public,,,,,,,,,Hyderabad/Secunderabad Telangana India,17.442473907634827,78.50469052729599
,Healthcare,Minnetonka Minnesota United States USA,,,,1977 (46 yrs old),,,,UnitedHealth,Private,,,,,,,,,Minnetonka Minnesota United States USA,,
,Automobile,Pune Maharashtra India,,,,1945 (78 yrs old),,,,Bajaj Auto,Public,,,,,,,,,Pune Maharashtra India,18.64486265,73.92241565390222
,NBFC,Kochi/Cochin Kerala India,,,,1939 (84 yrs old),,,,Muthoot Finance,Public,,,,,,,,,Kochi/Cochin Kerala India,9.871099449999999,76.27827654307958
,Telecom,Mumbai Maharashtra India,,,,1986 (37 yrs old),,,,Tata Communications,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
