company_id,company_name,trade_name,industry,sector,categories,company_status,company_type,address,postal_code,city,country,state,foundation_year,registration_date,website,rank,market_cap_or_valuation,number_of_employees,ceo,founder,assets,profit_or_net_income,revenue,total_funding_raised,share_price,change_1_day,change_1_year,debts,phone,sic_code,emtak_code,nace_code,facebook,twitter,pinterest,instagram,investors,region,notes_or_description,modified
,advanced automation | advanced | advancer global,,,,,,,,,singapore,singapore,,,,https://disfold.com/company/advancer-global-ltd/ | https://disfold.com/company/advanced-holdings-ltd/ | https://disfold.com/company/advanced-systems-automation-ltd/,,s$32.7 million | s$9.4 million | s$22.3 million,not found,mr. chong hoe seah | not found | mr. mei yang chin,,,,,,,,,,,,,,,,,,,,,True
,advanced connection | advanced info service pcl | advanced information,,,,,,,,,bangkok,thailand,,,,https://disfold.com/company/advanced-information-technology-public-company-ltd/ | https://disfold.com/company/advanced-connection-corp-public-company-ltd/ | https://disfold.com/company/advanced-info-service-pcl/,,฿1.57 billion | ฿692.56 billion | ฿8.97 billion,not found,mr. somchai lertsutiwong | not found,,,,,,,,,,,,,,,,,,,,,True
,advantage energy | advantage oil gas,,,,,,,,,calgary,canada,,,,https://disfold.com/company/advantage-energy-ltd/ | https://disfold.com/company/advantage-oil-gas-ltd/,,c$1.63 billion | €1.15 billion,42,mr. michael e. belenkie p. eng.,,,,,,,,,,,,,,,,,,,,,True
3756 | 917 | 3752 | 914,advanz pharma italia | advanz pharma specialty medicine italia,,,,,,,via giosue' carducci 24 | via caldera 21,20123 | 20153,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/advanz-pharma-specialty-medicine-italia-srl.itd5lkuk9.html | https://www.info-clipper.com/en/company/italy/advanz-pharma-italia-srl.itd741qfa.html,,,,,,,,,,,,,,,,,,,,,,,,single address | headquarter,False
3621 | 475,advendor network,,,,,,,tartu mnt 43,10128,tallinn,estonia,estonia,,,https://www.info-clipper.com/en/company/estonia/advendor-network-ou.eed8vchbn.html,,,,,,,,,,,,,,,,,,,,,,,,single address,False
4416 | 4419 | 2454 | 2451,adventist health system/sunbelt | adventist health system sunbelt healthcare,adventhealth,,,,,,900 hope way,327141502,altamonte springs,united states,florida(fl),,,https://www.info-clipper.com/en/company/united-states/adventist-health-system-sunbelt-healthcare-corporation.usdg0iwws.html | https://www.info-clipper.com/en/company/united-states/adventist-health-systemsunbelt-inc.usd17lu72.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
3656 | 845,advice petroleum,,,,,,,via giorgio perlasca 20/c 13,43036,fidenza,italy,italy,,,https://www.info-clipper.com/en/company/italy/advice-technology-petroleum-srl.itd73uza5.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
,advicenne | advenis,,,,,,,,,paris,france,,,,https://disfold.com/company/advicenne-sa/ | https://disfold.com/company/advenis-sa/,,€62.2 million | €35.0 million,267 | 32,mr. stephane joseph amine | not found,,,,,,,,,,,,,,,,,,,,,True
3608 | 378,aec underwriting agenzia di assicurazione e riassicurazione,,,,,,,piazza delle muse 7,00197 | 197,roma,italy,italy,,,https://www.info-clipper.com/en/company/italy/aec-underwriting-agenzia-di-assicurazione-e-riassicurazione-spa.itd798s5q.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
1644 | 4450,aecom,,,,,,,algate tower 2 leman street,e1 8fa,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/aecom-limited.gbd3q1wb4.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
3764 | 923,aeffe,moschino,,,,,,via delle querce 51,47842,san giovanni in marignano,italy,italy,,,https://www.info-clipper.com/en/company/italy/aeffe-spa.itd79ptgw.html,,,,,,,,,,,,,,,,,,,,,,,, | headquarter,False
1699 | 3522,aemetis,,,,,,,20400 stevens creek blvd ste 700,950142296,cupertino,united states,california(ca),,,https://www.info-clipper.com/en/company/united-states/aemetis-inc.usdac3ooo.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
,aeon | aeon mall,,,,,,,,,chiba,japan,,,,https://disfold.com/company/aeon-co-ltd/ | https://disfold.com/company/aeon-mall-co-ltd/,,¥2.244 trillion | ¥383.48 billion,"3,656 | 155,578",mr. yasutsugu iwamura | not found,,,,,,,,,,,,,,,,,,,,,True
4200 | 2256,aero assurance,,,,,,,1 church st,54014451 | 054014451,burlington,united states,vermont(vt),,,https://www.info-clipper.com/en/company/united-states/aero-assurance-ltd.usdbk333.html,,,,,,,,,,,,,,,,,,,,,,,,single address,False
3867 | 1013,agricola piano verde societa' agricola,,,,,,,via san pio x 111,31040,volpago del montello,italy,italy,,,https://www.info-clipper.com/en/company/italy/agricola-piano-verde-srl-societa-agricola.itd74v2e2.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
3577 | 431,agritera,,,,,,,viru valjak 2,10111,tallinn,estonia,estonia,,,https://www.info-clipper.com/en/company/estonia/agritera-ou.eed8d6fls.html,,,,,,,,,,,,,,,,,,,,,,,,single address,False
4316 | 1448,air hex alonte,,,,,,,via delle albere 5,36045,alonte,italy,italy,,,https://www.info-clipper.com/en/company/italy/air-hex-alonte-srl.itd79zl7f.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
4057 | 2113 | 2125 | 2122 | 4066 | 2116 | 4063 | 4054,airbus americas customer | airbus americas | airbus ds geo | airbus,,,,,,,2550 wasser ter ste 9100 | 2550 wasser ter ste 9000,201716381 | 201716128,herndon,united states,virginia(va),,,https://www.info-clipper.com/en/company/united-states/airbus-ds-geo-inc.usd1w3tpa.html | https://www.info-clipper.com/en/company/united-states/airbus-americas-customer-services-inc.usd34vzlc.html | https://www.info-clipper.com/en/company/united-states/airbus-group-inc.usd1bmgoi.html | https://www.info-clipper.com/en/company/united-states/airbus-americas-inc.usd2lvzs6.html,,,,,,,,,,,,,,,,,,,,,,,,single address | headquarter,False
3781 | 1861,airbus helicopters,,,,,,,2701 n forum dr,750528927,grand prairie,united states,texas(tx),,,https://www.info-clipper.com/en/company/united-states/airbus-helicopters-inc.usd27vj6x.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
2119 | 4060,airbus supply,,,,,,,21780 filigree ct,201476216,ashburn,united states,virginia(va),,,https://www.info-clipper.com/en/company/united-states/airbus-group-supply-services-inc.usd5tlv7.html,,,,,,,,,,,,,,,,,,,,,,,,single address,False
,airbyte | airtable | iterable,,internet software & services,internet software & services,,,,,,san francisco,united states,united states,2013.0 | 2020.0,6/15/2021 | 12/17/2021 | 11/15/2018,,,$2b | $11.7b | $1.5b,,,,,,, | $1.353b | $342.4m,,,,,,,,,,,,,"crv, blue cloud ventures, index ventures | caffeinated capital, crv, founder collective | accel, benchmark, sv angel",, | series e | series f,False
