company_id,company_name,trade_name,industry,sector,categories,company_status,company_type,headquarters,address,postal_code,city,country,state,continent,foundation_year,registration_date,website,rank,market_cap_or_valuation,number_of_employees,ceo,founder,assets,profit_or_net_income,revenue,total_funding_raised,share_price,change_1_day,change_1_year,debts,phone,sic_code,emtak_code,nace_code,facebook,twitter,pinterest,instagram,investors,region,notes_or_description,normalized_name,modified,normalized_country,city_translate
62197be129714f508858988177056785 | de89ef0b99a342049d12574400af73f8,merus,,,,"['Biotech', 'Pharmaceuticals'] | ['Healthcare', 'Biotechnology']",,,,,,,netherlands,, | western europe,0,, | https://merus.nl/,"5118 | 8,381", | $0.68 b,,,,,,,, | $14.73, | 0.14%, | -43.13%,,,,,,,,,,,,,merus,True,netherlands,
3853 | 1924,merz north america,,,,,,,,6501 six forks rd,276156515,raleigh,united states,north carolina(nc),,0,,https://www.info-clipper.com/en/company/united-states/merz-north-america-inc.usd29mts9.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,merz north america,False,united states,raleigh
46cc7ec6dd104043b038ef2a4f47e18c | 25a22f0bbe6b4ed68fd60e1172c1911e,mesa laboratories,,,," | ['Technology', 'Capital Goods', 'Technology Hardware and Instruments']",,,,,,,united states, | colorado, | northern america,0,,https://mesalabs.com/ | ,"4616 | 7,195", | $1.05 b, | 347,,, | 707 million usd, | 1 million usd, | 184 million usd,, | $196.88, | 1.57%, | -33.11%, | 313 million usd,,,,,,,,,,,,mesa laboratories,True,united states,
892 | 3623,mesh digital,,,,,,,,the old forge shackstead lane,gu7 1rj,godalming,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/mesh-digital-limited.gbd3usz0i.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,mesh digital,False,united kingdom,godalming
,messengerpeople,,technology,,,,,,,,,germany,,,2015,,https://www.messengerpeople.com/ | https://www.messengerpeople.com,,,68 | 56,,,,,"6.72 | 10,146,200",,,,,,,,,,,,,,,,,messengerpeople,True,germany,
2652 | 4647,messer north america,,,,,,,,200 somerset corporate blvd ste 7000,88072882 | 088072882,bridgewater,united states,new jersey(nj),,0,,https://www.info-clipper.com/en/company/united-states/messer-north-america-inc.usd1r99hk.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,messer north america,False,united states,bridgewater
4237 | 1441,met film,,,,,,,,ealing studios ealing green,w5 5ep,london,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/met-film-limited.gbdc5rjuv.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,met film,False,united kingdom,london
0cfeb57396e54664a351587944715ec3 | 9f5ce81ba5014791b4835220aea1dea2,meta financial,,,,"['Banks', 'Financial services'] | ['Financial Services', 'Banking Services']",,,,,,,united states, | south dakota, | northern america,0,, | http://www.metafinancialgroup.com,"4396 | 6,506", | $1.26 b,,,," | 6,690 million usd", | 139 million usd, | 508 million usd,, | $44.77, | 1.31%,-21.99% | ," | 5,818 million usd",,,,,,,,,,,,meta financial,True,united states,
 | d10c3bd4fe924f138454b6f0583de7a1,meta platforms,,,," | ['Communication Services', 'Internet or Mobile App Based Business', 'Social Media', 'Artificial Intelligence', 'Internet of Things', 'Advertising', 'Technology', 'Media', 'Software and IT', 'Software Products']",,,,,,,united states, | california, | northern america,0,, | https://www.facebook.com/, | 7, | $499.86 b,"77,805 | ",mark zuckerberg | ," | ['Mark Zuckerberg', 'Andrew McCollum', 'Eduardo Saverin', 'Dustin Moskovitz', 'Chris Hughes']","$165.99 b | 165,990 million usd","39,370 million usd | $39.37 b","$117.93 b | 117,930 million usd",,,,," | 41,108 million usd",,,,,,,,,,,,meta platforms,True,united states,
,metacrew,,retail | advertising,,,,,,,,,germany,,,2008,,https://www.metacrew.de,,,75 | 52,,,,,"14.0 | 28,943,850",,,,,,,,,,,,,,,,,metacrew,True,germany,
3544 | 764,metallum metal trading,,,,,,,,via arcene 2/a,24040,pontirolo nuovo,italy,italy,,0,,https://www.info-clipper.com/en/company/italy/metallum-metal-trading-srl.itd8i7o77.html,,,,,,,,,,,,,,,,,,,,,,,,single address,metallum metal trading,False,italy,pontirolo nuovo
 | d5612448cdbc44b4ba618b7ee7c10d46,metallurgical of china,,,," | ['Industries', 'Real Estate', 'Mining', 'Metals', 'Construction']",,,,,,,china,,eastern asia | ,0,, | http://www.mcc.com.cn," | 2,926", | $5.15 b," | 101,020",,,"85,303 million usd | $85.27 b","1,314 million usd | $1.3 b","$77.3 b | 78,570 million usd",,,,," | 68,431 million usd",,,,,,,,,,,,metallurgical of china,True,china,
 | 4da91d3dcaf2462abd70e1dfbd3cd683,metalurgica gerdau,,,," | ['Basic Materials', 'Iron and Steel']",,,,,,,brazil,, | south america,0,, | https://www2.gerdau.com/," | 6,038", | $2.6 b,,,,"14,679 million usd | $13.39 b",$904.1 m | 996 million usd,"$14.52 b | 15,413 million usd",,,,," | 6,097 million usd",,,,,,,,,,,,metalurgica gerdau,True,brazil,
,metaminds,,cyber security,,,,,,,,,romania,,,2015,,https://www.metaminds.com/ | https://www.metaminds.com,,,41 | 28 | 31,,,,,"32,103,084 | 26,158,008 | 10.65",,,,,,,,,,,,,,,,,metaminds,True,romania,
da980b02560542c9b45e764429c64404 | dab578ba79854cf6a1b39b53a33ff604,metcash,,,," | ['Consumer Defensive', 'Retail', 'Food and Beverage', 'Consumer Non Durables', 'Food Chains / Distributor']",,,,,,,australia,," | australia, new zealand",0,, | https://www.metcash.com,"4,830 | 3294", | $2.79 b,,,," | 3,600 million usd", | 170 million usd," | 10,498 million usd",, | $2.90, | -0.72%, | -3.33%," | 2,845 million usd",,,,,,,,,,,,metcash,True,australia,
9761abba6b2c4900af99452a52d7d746 | 1d1036cf6b04442a90d15ad319ceabc1,methanex,,,,"['Basic Materials', 'Chemicals'] | ",,,,,,,canada, | vancouver, | northern america,0,, | https://www.methanex.com/,"4,505 | 3080", | $3.17 b," | 1,500",,," | 4,682 million usd",371 million usd | ," | 3,394 million usd",, | $45.38, | 2.18%, | 1.59%," | 3,179 million usd",,,,,,,,,,,,methanex,True,canada,
6af081b2310d47f683b6e21d348d932a | 26a98db70c094dfa871b0d5653f676f2,methode electronics,,,,"['Electronics'] | ['Technology', 'Electronics', 'Electrical Products', 'Capital Goods']",,,,,,,united states, | illinois, | northern america,0,, | http://www.methode.com,"4031 | 6,790", | $1.65 b," | 7,000",,," | 1,389 million usd", | 102 million usd," | 1,163 million usd",, | $45.82, | 0.68%, | 1.96%, | 475 million usd,,,,,,,,,,,,methode electronics,True,united states,
 | d787adfc5d814960a8495da5af3bf825 | 09e10c497fa743da8a129101ad160a89,metlife,,,," | ['Financial Services', 'Insurance', 'Asset Management'] | ['Insurance']",,,,,,,united states, | new york, | northern america,0,, | https://www.metlife.com/, | 246 | 322, | $60.34 b | $57.39 b," | 43,000", | michel a. khalaf, | william p. stewart," | $759.71 b | 759,710 million usd"," | $6.55 b | 6,554 million usd","$71.08 b |  | 71,080 million usd",, | $76.91, | 0.34%, | 29.63%," | 692,230 million usd",,,,,,,,,,,,metlife,True,united states,
4093 | 2152,metlife assignment (de),,,,,,,,200 park ave,101660005,new york,united states,new york(ny),,0,,https://www.info-clipper.com/en/company/united-states/metlife-assignment-company-inc.usd1ydu33.html,,,,,,,,,,,,,,,,,,,,,,,,single address,metlife assignment (de),False,united states,new york
06799c86c06140f28a17ebeee9621e04 | a5ac7d0a7bb245268c626feb27036309 | ,metro,,,," | ['Consumer Defensive', 'Retail', 'Food Chains / Distributor'] | ['Retail', 'Supermarket Chains']",,,,,,,germany,, | western europe,0,,https://www.metroag.de/en/ | ," | 3,912 | 2801", | $3.85 b | $3.27 b," | 97,639",,," | $14.48 b | 14,139 million usd", | $47.3 m | -62 million usd," | 27,316 million usd | $30.77 b",, | $10.56, | 2.37%, | -3.39%," | 12,125 million usd",,,,,,,,,,,,metro,True,germany,
f65bf1f1bd184a5eb6bb13de3cea0aa2 | ,metro,,,," | ['Consumer Defensive', 'Retail', 'Super Markets', 'Pharmacy']",,,,,,,canada, | montreal, | northern america,0,, | https://www.metro.ca/," | 1,536", | $13.23 b," | 90,000",,,"$10.78 b | 10,777 million usd",$677.9 m | 653 million usd,"$14.61 b | 14,496 million usd",,,,," | 5,702 million usd",,,,,,,,,,,,metro,True,canada,
1458 | 3168,metro-goldwyn-mayer pictures,,,,,,,,10900 wilshire blvd ste 1500,900246529,los angeles,united states,california(ca),,0,,https://www.info-clipper.com/en/company/united-states/metro-goldwyn-mayer-pictures-inc.usd2f32cl.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,metro-goldwyn-mayer pictures,False,united states,los angeles
1455 | 3164,metro-goldwyn-mayer studios,,,,,,,,245 n beverly dr,902105319,beverly hills,united states,california(ca),,0,,https://www.info-clipper.com/en/company/united-states/metro-goldwyn-mayer-studios-inc.usd45urs.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,metro-goldwyn-mayer studios,False,united states,beverly hills
8150274899c543b6a8580a84fb93e424 | 8c1795d79792476aba7d333ba9578fe3,metropolitan bank,,,,"['Banks', 'Financial services'] | ['Financial Services', 'Banking Services']",,,,,,,united states,, | northern america,0,, | http://www.mcbankny.com/,"5187 | 8,475", | $0.64 b, | 202,,," | 7,116 million usd", | 59 million usd, | 180 million usd,, | $57.14, | -3.33%, | -44.23%," | 6,559 million usd",,,,,,,,,,,,metropolitan bank,True,united states,
 | b0bb8ce7977044059e23ac456b0bcc9d,metropolitan bank trust,,,," | ['Banking Services', 'Financial Services']",,,,,,,philippines,,south east asia | ,0,, | https://metrobank.com.ph/," | 3,217", | $4.76 b,,,, | $49.11 b,$449.5 m | 277 million usd,"2,425 million usd | $2.34 b",,,,,,,,,,,,,,,,,metropolitan bank trust,True,philippines,
7a098332905146ea9b0a506c4d543822 | 0799e3ae1b274ea9a689f7d79db58812,metrovacesa,,,,"['Construction', 'Real estate'] | ['Consumer Cyclical', 'Real Estate', 'Residential Properties', 'Commercial Properties', 'Construction']",,,,,,,spain,, | south europe,0,, | https://metrovacesa.com/en,"4549 | 8,243", | $1.11 b,,,," | 2,775 million usd", | 18 million usd, | 510 million usd,, | $7.34, | 1.96%, | -5.29%, | 697 million usd,,,,,,,,,,,,metrovacesa,True,spain,
1247 | 4113,metsa board italia,,,,,,,,piazza don enrico mapelli 1,20099,sesto san giovanni,italy,italy,,0,,https://www.info-clipper.com/en/company/italy/metsa-board-italia-srl.itd7a6r05.html,,,,,,,,,,,,,,,,,,,,,,,,single address,metsa board italia,False,italy,sesto san giovanni
1250 | 4116,metso,,,,,,,,via vittor pisani 20,20124,milano,italy,italy,,0,,https://www.info-clipper.com/en/company/italy/metso-spa.itd7lcfj7.html,,,,,,,,,,,,,,,,,,,,,,,,single address,metso,False,italy,milano
,metsys,,technology,,,,,,,,,france,,,2011,,https://www.metsys.fr | https://www.metsys.fr/,,,192 | 220 | 107,,,,,"16.6 | 27.64 | 35,580,368",,,,,,,,,,,,,,,,,metsys,True,france,
